"icao","counts","latitude","longitude"
"enor",791,69.2106,28.8294
"enor",792,69.2272,28.8272
"enor",793,69.2292,28.8244
"enor",794,69.28,28.9392
"enor",795,69.3133,29.0122
"enor",796,69.3981,29.1953
"enor",797,69.4106,29.2233
"enor",798,69.4639,29.3092
"enor",799,69.4844,29.3361
"enor",800,69.4906,29.3328
"enor",801,69.5081,29.3144
"enor",802,69.5217,29.3025
"enor",803,69.535,29.2864
"enor",804,69.5814,29.2372
"enor",805,69.6767,29.1372
"enor",806,69.6969,29.135
"enor",807,69.7147,29.0333
"enor",808,69.7289,28.9525
"enor",809,69.8206,28.4319
"enor",810,69.8211,28.4286
"enor",811,69.8283,28.4181
"enor",812,69.8383,28.3872
"enor",813,69.8425,28.3747
"enor",814,69.8489,28.3547
"enor",815,69.8814,28.3525
"enor",816,69.9064,28.2506
"enor",817,69.9253,28.1903
"enor",818,69.9533,28.1181
"enor",819,69.9858,28.0681
"enor",820,70,28.0414
"enor",821,70.0008,28.04
"enor",822,70.0117,28.0203
"enor",823,70.0219,28.0017
"enor",824,70.0236,27.9997
"enor",825,70.0414,27.9819
"enor",826,70.0558,27.9786
"enor",827,70.0719,27.9761
"enor",828,70.0767,27.9767
"enor",829,70.085,27.9772
"enor",830,70.0853,27.9772
"enor",831,70.0894,27.9775
"enor",832,70.0925,27.9778
"enor",833,70.0961,27.9633
"enor",834,70.0956,27.955
"enor",835,70.0939,27.9331
"enor",836,70.0903,27.9094
"enor",837,70.0864,27.8864
"enor",838,70.0689,27.7611
"enor",839,70.0675,27.7339
"enor",840,70.0736,27.7136
"enor",841,70.0742,27.7075
"enor",842,70.0797,27.6578
"enor",843,70.0797,27.6564
"enor",844,70.0783,27.6147
"enor",845,70.0783,27.6117
"enor",846,70.0783,27.6092
"enor",847,70.0756,27.5828
"enor",848,70.0656,27.5586
"enor",849,70.0633,27.5567
"enor",850,70.0622,27.5558
"enor",851,70.0369,27.5356
"enor",852,70.0336,27.5306
"enor",853,70.0289,27.5197
"enor",854,70.0258,27.5081
"enor",855,70.0256,27.5006
"enor",856,70.0231,27.4642
"enor",857,70.0222,27.4508
"enor",858,70.0219,27.4475
"enor",859,70.02,27.4397
"enor",860,70.0083,27.3925
"enor",861,70.0006,27.3744
"enor",862,70,27.3728
"enor",863,69.9942,27.3572
"enor",864,69.9928,27.3533
"enor",865,69.9908,27.3369
"enor",866,69.9883,27.2953
"enor",867,69.985,27.2758
"enor",868,69.9822,27.2725
"enor",869,69.9814,27.2717
"enor",870,69.9633,27.2892
"enor",871,69.9564,27.2708
"enor",872,69.9492,27.2231
"enor",873,69.9469,27.2061
"enor",874,69.9331,27.1472
"enor",875,69.9311,27.1392
"enor",876,69.9183,27.0947
"enor",877,69.9164,27.0775
"enor",878,69.9144,27.0589
"enor",879,69.9125,27.05
"enor",880,69.9125,27.0489
